0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
150250,220821,49923,693896,592508,740486,623363,575800,677410,758178,666804,683602,688054,663889,395304,437808,244739,384000,261534,251419,243761,354327,0,342190,199983,137628,385101,145259,365727,288616,371178,402236,393393,376389,454579,172670,226992,378823,401992,400146,520788,423338,394197,477453,507218,543862,487575,532379,467388,478053,545627,514003,446012,411829,388821,522594,454890,521973,477350,380144,521974,793790,500741,477451,542970,559991,507187,695265,773522,764641,771437,665023,654755,684855,769593,617133,553770,410119,578049,259230,338079
171889,356738,367600,833215,790927,879806,762683,715120,816730,897498,806123,822922,827374,803208,402672,445175,257083,391367,222973,228975,251128,262507,343253,0,329613,166249,392468,162139,36883,18863,378545,409603,400760,383756,461946,137626,360397,282144,262115,291807,328548,276695,274732,134828,287575,324218,494942,340139,380622,135428,325983,294359,453379,312783,270021,350026,355844,302329,484717,293851,302330,515398,308501,257807,221353,340347,287543,487336,553879,544997,551793,472783,529725,492615,549950,397489,790024,417486,385809,122656,224925
188677,42559,208619,519037,476749,565627,448504,400941,502552,583319,491945,508744,513196,489030,189191,161021,74797,182631,116922,102219,92075,204036,199719,328647,0,206445,178988,176421,350772,339525,165065,196123,173187,175020,201067,220791,46219,228532,251701,249855,395593,273047,243906,428401,458166,459666,286206,409331,317097,429001,461045,464951,244643,261538,238530,372303,304599,472920,275981,229853,472922,744738,378391,428398,493918,445067,458134,544974,724470,715588,722385,519798,504464,562505,720541,575586,475845,189133,455698,210510,187788
26341,252426,169167,728904,686616,775494,658371,610808,712418,793186,701811,718610,723062,698896,338423,380926,187857,327118,204652,194537,186879,297446,138352,167350,207578,0,328219,34514,203075,149738,314296,345354,336511,319507,397697,33792,256086,321941,345111,343264,464396,366457,337315,301020,450826,487469,430693,475987,410506,301620,489234,457610,389130,354947,331939,465712,398008,465580,420468,323263,465581,737397,444349,421058,387545,503598,450794,638383,717130,708248,715044,608631,597873,628463,713201,560740,662177,353237,521657,202837,281197
310417,180492,409895,493539,451251,540130,423007,375444,477054,557822,466447,483246,487698,463532,11560,53530,150136,53961,181456,166753,143437,143428,385548,393180,179266,328185,0,298161,415305,404059,17710,20310,9115,34372,76206,342531,171113,163636,172916,163290,309029,186483,162637,492934,421001,373101,116667,322766,176575,493534,374481,411559,75104,171401,173634,285738,214462,390862,106442,155112,411746,750661,291826,410933,558451,358503,431996,454837,687661,678780,685576,433234,414326,475940,683732,489022,458171,31745,369134,275043,177600
13444,222439,170750,698916,656628,745507,628383,580821,682431,763199,671824,688623,693075,668909,308435,350938,157870,297131,174665,164550,156892,267458,146403,162217,177590,33441,298232,0,197943,144605,284309,315367,306524,289520,367710,47787,226098,291954,315123,313277,434408,336469,307327,391073,420838,457482,400706,445999,380519,391673,459247,427623,359143,324960,301952,435725,368021,435593,390481,293275,435594,707410,414362,391071,456590,473611,420807,608396,687142,678261,685057,578644,567885,598476,683213,530753,655725,323249,491669,172850,251210
209125,378096,393702,854574,812286,901164,784041,736478,838088,918856,827481,844280,848732,824566,424030,466533,278441,412725,244331,250334,272486,283865,369355,38316,350971,203484,413826,199375,0,54136,399903,430961,422118,405114,483304,174861,381755,304439,284410,314102,343344,298990,297027,99971,276382,313025,516301,354935,402917,100571,314790,283166,474737,335078,292316,364822,378138,291136,506075,316146,291138,480541,323297,246614,186495,329155,276350,502132,542686,533804,540600,487579,544521,507411,476485,386296,811382,438844,400605,144015,246284
154201,369225,318597,845703,803415,892293,775170,727607,829217,909985,818610,835409,839861,815695,415159,457662,269570,403854,235460,241463,263615,274994,287782,18835,342100,148560,404955,144450,53714,0,391032,422090,413247,396243,474433,119937,372885,294631,274603,304294,341035,289182,287219,151659,298470,335114,507430,352626,393109,152259,336879,305255,465867,325270,282508,362513,368331,313225,497204,306339,313226,532229,320989,268703,238183,351243,298439,499824,564775,555893,562689,485271,542212,505103,560846,408385,802511,429973,398296,135144,237413
295194,165711,394671,510128,467840,556718,439595,392032,493643,574410,483036,499834,504286,480121,27615,70119,134912,68198,166232,151529,128213,157665,370324,377956,164042,312961,17412,282937,400081,388835,0,34547,25704,48609,86890,327307,156332,177873,187153,177527,323266,200720,176875,477710,435238,387338,132722,337003,190812,478310,388718,425796,91159,185638,187871,299975,228699,405099,122497,169349,425983,764898,306063,425170,543227,372740,446233,469074,701898,693017,699813,447471,428563,490177,697969,503259,474759,42430,383371,259820,162376
326601,196760,426078,511249,468961,557840,440717,393154,494764,575532,484157,500956,505408,481242,12965,71240,166319,46719,197639,182936,159620,136187,401731,409364,195449,344368,19406,314345,431489,420242,33893,0,26826,27101,78596,358714,192288,156395,165674,156048,301787,179241,155396,509117,413760,365859,103246,315524,169333,509717,367239,404317,61683,164159,166393,278496,207220,383620,93021,147870,404504,743419,284584,403691,574634,351261,424754,447595,680419,671538,678334,425992,407085,468698,676490,481780,475881,34629,361892,291227,160505
